Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
1.11524, 0.917175, 0.983916, 0.770584, 0.981425, 0.851272, 0.91434, 0.862493
1.63088, 0.787474, 1.02987, 0.743747, 1.77164, 0.831612, 1.29284, 0.818525
1.41812, 1.10933, 1.42218, 0.992934, 1.16611, 1.3711, 1.5859, 1.38509
1.44723, 1.6797, 3.09062, 1.35685, 1.35951, 3.09443, 2.11906, 1.36025
7.18849, 1.70825, 6.78847, 1.44465, 7.21922, 1.60424, 8.63589, 1.78974
9.91101, 7.05271, 11.3596, 6.36033, 10.3023, 8.20612, 7.71683, 6.76068
7.93738, 9.02554, 869.54, 5.69625, 8.39799, 8.97547, 11.5528, 6.69533
66.4153, 2.44835, 69.44, 29.6646, 68.6307, 6.31597, 4.77885, 8.49326
6.03632, 4.36996, 2460.35, 4.08695, 7.78504, 6.03112, 13.6499, 4.34955
7.05616, 2.97885, 7.43116, 3.42548, 7.58646, 5.251, 776.113, 3.56989
2.64361, 2.96812, 2618.04, 1.6973, 3.07459, 1.39033, 2065.03, 1163.21
1.10762, 0.871185, 5784.11, 0.80854, 1.2226, 0.870931, 1.46239, 0.90176
7.03544, 3.18933, 794.485, 2.80451, 7.25036, 3.08412, 1571.62, 500.399
1.6732, 1.10778, 791.425, 1.01294, 1.52759, 1.04341, 1.28616, 1.04089
33.8563, 34.5445, 153.536, 22.6427, 40.4792, 32.3546, 30.8895, 22.9942
7.93765, 7.12551, 90.2193, 3.9273, 8.24686, 6.32729, 6.85907, 4.01481
1.46692, 1.03725, 241.672, 0.891711, 1.39362, 0.878251, 1.35998, 0.901943
10.1663, 2.65399, 8.93969, 3.40745, 9.34296, 7.13753, 50.6156, 683.938

Office.Texture.rotation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
10.7387, 2.2132, 4.32188, 2.26977, 10.5983, 2.31072, 2.59765, 2.19837
13.3031, 2.03393, 4.45636, 2.02631, 15.1641, 2.15148, 2.89918, 2.0509
28.1495, 2.29873, 3.1234, 2.36248, 25.2252, 2.35489, 2.5862, 2.40787
35.9731, 2.09852, 3.3963, 2.15411, 34.7488, 2.10035, 2.46499, 2.15328
3.38317, 2.56708, 4.08515, 2.69797, 3.44315, 2.64664, 3.58588, 2.7248
2.20821, 2.12255, 3.83823, 2.13481, 2.2485, 2.2177, 3.00827, 2.23276
3.10709, 1.94679, 1.98808, 1.95305, 3.1885, 2.02643, 3.33112, 1.92195
5.26417, 1.8577, 16.0483, 2.13836, 5.03604, 1.91403, 2.67675, 2.12511
6.28878, 2.96198, 3.26571, 2.91187, 6.85325, 2.90214, 3.41827, 3.01235
2.27691, 2.23493, 2.31559, 2.10474, 2.25236, 2.23718, 2.26448, 2.15732
7.02453, 3.35486, 3.55239, 3.39049, 6.62897, 3.34111, 3.51299, 3.37699
3.08283, 3.04415, 2.98723, 2.91879, 3.03236, 3.09357, 3.54742, 2.93383
4.07219, 2.71968, 4.48275, 2.76637, 4.02953, 2.84724, 3.22541, 2.69484
6.31754, 4.01869, 9.86158, 3.76454, 6.36421, 4.97605, 36.9939, 4.40644
13.2504, 10.0409, 21.1336, 8.02332, 13.0169, 19.6728, 11720.2, 2850.88
13.5916, 6.49243, 10.9823, 8.4455, 13.659, 13.3059, 2553.03, 6.47745
20.6638, 19.5305, 23.5014, 19.1681, 19.6956, 29.5987, 4460.57, 2278.71
22.9811, 23.0888, 23.5197, 18.9376, 24.517, 27.0646, 31.7538, 19.1281
7.77495, 8.75557, 8.4516, 7.34178, 7.95483, 11.081, 12.7288, 7.72223
